,RunId,iteration,Step,num_agents,num_supportive,stigma_level,support_effectiveness,acceptance_probability,refusal_gets_worse_probability,Average Depression,Mild Count,Moderate Count,Severe Count
260,260,0,50,50,10,0.7,0.3,0.5,0.3,0.6,30,10,10
261,261,0,50,50,10,0.7,0.3,0.5,0.5,0.46,33,11,6
262,262,0,50,50,10,0.7,0.3,0.5,0.7,0.92,19,16,15
263,263,0,50,50,10,0.7,0.3,0.5,0.9,1.12,12,20,18
264,264,0,50,50,10,0.7,0.3,0.7,0.3,0.46,34,9,7
265,265,0,50,50,10,0.7,0.3,0.7,0.5,0.38,35,11,4
266,270,0,50,50,10,0.7,0.3,0.9,0.7,0.66,27,13,10
267,267,0,50,50,10,0.7,0.3,0.7,0.9,0.9,23,9,18
268,266,0,50,50,10,0.7,0.3,0.7,0.7,0.58,32,7,11
269,269,0,50,50,10,0.7,0.3,0.9,0.5,0.6,32,6,12
270,268,0,50,50,10,0.7,0.3,0.9,0.3,0.5,34,7,9
271,271,0,50,50,10,0.7,0.3,0.9,0.9,0.4,37,6,7
272,272,0,50,50,10,0.7,0.5,0.3,0.3,0.62,28,13,9
273,276,0,50,50,10,0.7,0.5,0.5,0.3,0.38,36,9,5
274,275,0,50,50,10,0.7,0.5,0.3,0.9,1.14,17,9,24
275,274,0,50,50,10,0.7,0.5,0.3,0.7,1.1,17,11,22
276,273,0,50,50,10,0.7,0.5,0.3,0.5,1.02,19,11,20
277,278,0,50,50,10,0.7,0.5,0.5,0.7,0.74,27,9,14
278,277,0,50,50,10,0.7,0.5,0.5,0.5,0.66,27,13,10
279,279,0,50,50,10,0.7,0.5,0.5,0.9,0.92,20,14,16
280,281,0,50,50,10,0.7,0.5,0.7,0.5,0.64,29,10,11
281,280,0,50,50,10,0.7,0.5,0.7,0.3,0.28,40,6,4
282,282,0,50,50,10,0.7,0.5,0.7,0.7,0.56,30,12,8
283,283,0,50,50,10,0.7,0.5,0.7,0.9,0.8,22,16,12
284,285,0,50,50,10,0.7,0.5,0.9,0.5,0.28,40,6,4
285,284,0,50,50,10,0.7,0.5,0.9,0.3,0.44,37,4,9
286,286,0,50,50,10,0.7,0.5,0.9,0.7,0.4,38,4,8
287,287,0,50,50,10,0.7,0.5,0.9,0.9,0.34,38,7,5
288,288,0,50,50,10,0.7,0.7,0.3,0.3,0.58,32,7,11
289,290,0,50,50,10,0.7,0.7,0.3,0.7,1.12,20,4,26
290,292,0,50,50,10,0.7,0.7,0.5,0.3,0.62,28,13,9
291,289,0,50,50,10,0.7,0.7,0.3,0.5,0.66,28,11,11
292,293,0,50,50,10,0.7,0.7,0.5,0.5,0.48,35,6,9
293,295,0,50,50,10,0.7,0.7,0.5,0.9,0.9,22,11,17
294,297,0,50,50,10,0.7,0.7,0.7,0.5,0.64,29,10,11
295,291,0,50,50,10,0.7,0.7,0.3,0.9,1.22,14,11,25
296,294,0,50,50,10,0.7,0.7,0.5,0.7,0.64,30,8,12
297,296,0,50,50,10,0.7,0.7,0.7,0.3,0.52,33,8,9
298,298,0,50,50,10,0.7,0.7,0.7,0.7,0.48,35,6,9
299,299,0,50,50,10,0.7,0.7,0.7,0.9,0.64,27,14,9
300,300,0,50,50,10,0.7,0.7,0.9,0.3,0.36,38,6,6
301,301,0,50,50,10,0.7,0.7,0.9,0.5,0.56,31,10,9
302,303,0,50,50,10,0.7,0.7,0.9,0.9,0.44,35,8,7
303,302,0,50,50,10,0.7,0.7,0.9,0.7,0.4,35,10,5
304,304,0,50,50,10,0.7,0.9,0.3,0.3,0.54,32,9,9
305,305,0,50,50,10,0.7,0.9,0.3,0.5,0.88,21,14,15
306,307,0,50,50,10,0.7,0.9,0.3,0.9,1.12,18,8,24
307,306,0,50,50,10,0.7,0.9,0.3,0.7,0.98,19,13,18
308,312,0,50,50,10,0.7,0.9,0.7,0.3,0.78,27,7,16
309,309,0,50,50,10,0.7,0.9,0.5,0.5,0.54,32,9,9
310,308,0,50,50,10,0.7,0.9,0.5,0.3,0.56,31,10,9
311,310,0,50,50,10,0.7,0.9,0.5,0.7,0.94,23,7,20
312,311,0,50,50,10,0.7,0.9,0.5,0.9,1.06,18,11,21
313,313,0,50,50,10,0.7,0.9,0.7,0.5,0.48,34,8,8
